"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.128112917E0,-2.854109108E-1,-1.057670712E0,-7.859905362E-1
4.148152917E0,-2.273992449E-1,-8.490082026E-1,-9.093613029E-1
4.168192917E0,-7.724438608E-2,-8.384507895E-1,-9.175658822E-1
4.188232917E0,1.307842135E-1,-7.981429100E-1,-8.752991557E-1
4.208272917E0,3.074801564E-1,-6.007552147E-1,-8.422400951E-1
4.228312917E0,5.627204180E-1,-5.925493836E-1,-8.021247983E-1
4.248352917E0,7.304668427E-1,-4.409288168E-1,-1.022158384E0
4.268392917E0,9.563005567E-1,-3.251192272E-1,-1.111325026E0
4.288432918E0,1.070563793E0,-2.738048136E-1,-1.099216819E0
4.308472917E0,1.043648481E0,-1.325041056E-1,-1.080941796E0
4.328512917E0,1.049720287E0,6.400652975E-2,-1.115669847E0
4.348552917E0,9.437193274E-1,3.338443637E-1,-1.145493865E0
4.368592917E0,8.084118366E-1,4.970578849E-1,-9.836101532E-1
4.388633917E0,7.251064181E-1,4.281036556E-1,-8.439208269E-1
4.408673917E0,5.547953844E-1,5.304957032E-1,-7.521507144E-1
4.428713917E0,4.816457331E-1,4.688830972E-1,-7.651630640E-1
4.448753917E0,3.650905192E-1,4.622923434E-1,-6.628689170E-1
4.468793917E0,1.798250675E-1,4.741964042E-1,-5.590242743E-1
4.488833917E0,-8.669387549E-2,4.278475344E-1,-3.696228266E-1
4.508873917E0,-2.453102618E-1,3.980586231E-1,-2.130625397E-1
4.528913917E0,-3.383565545E-1,4.986454546E-1,-2.827888355E-2
4.548953917E0,-2.924318910E-1,2.966625392E-1,-3.879653290E-2
4.568989418E0,-1.839807630E-1,3.008581698E-4,-2.388568670E-1
4.589029417E0,-3.578403592E-1,-6.622238159E-1,-5.745168924E-1
4.609069417E0,-4.053714871E-1,-8.234190941E-1,-5.953321457E-1
4.629109417E0,-3.736973703E-1,-7.149066329E-1,-5.076885223E-1
4.649149417E0,-3.787752688E-1,-8.678749204E-1,-4.232986569E-1
4.669189417E0,-4.075905383E-1,-9.355052710E-1,-4.027158916E-1
4.689229417E0,-4.814696014E-1,-1.017335057E0,-3.166553080E-1
4.709269417E0,-5.375453234E-1,-9.638407230E-1,-1.666028202E-1
4.729309417E0,-6.210439205E-1,-9.700883627E-1,2.011683583E-2
4.749349417E0,-7.599251866E-1,-8.880400658E-1,2.042103559E-1
4.769389417E0,-8.293650746E-1,-9.518473744E-1,4.034890532E-1
4.789429417E0,-8.843473196E-1,-7.790443897E-1,6.614927649E-1
4.809469417E0,-8.278380632E-1,-2.731840909E-1,1.027239203E0
4.829509418E0,-1.057663083E0,2.522216737E-1,2.049329519E0
4.849550417E0,-1.190171242E0,2.208980322E-1,2.542579651E0
4.869590417E0,-1.056707025E0,8.648814261E-2,2.027050018E0
4.889630417E0,-9.011138678E-1,2.730468810E-1,1.784509063E0
4.909670417E0,-8.402894139E-1,3.011452556E-1,1.737944961E0
4.929710417E0,-6.812911630E-1,3.784201741E-1,1.724745631E0
4.949750417E0,-5.667871237E-1,4.291984737E-1,1.690993667E0
4.969790417E0,-4.130159020E-1,5.013136268E-1,1.676776290E0
4.989830418E0,-4.054565430E-1,6.519813538E-1,1.557088494E0
5.009870417E0,-3.786687851E-1,7.794001698E-1,1.262020230E0
5.029910417E0,-2.962941229E-1,8.694027066E-1,1.071229219E0
5.049950417E0,-2.264970690E-1,9.532384872E-1,9.040666819E-1
5.069990417E0,-1.757212132E-1,1.044436693E0,8.359172344E-1
5.090030417E0,-1.136929393E-1,1.058182001E0,8.176675439E-1
5.110070417E0,-5.527709797E-2,9.891662598E-1,7.717630267E-1
5.130110417E0,2.217943966E-2,8.768916726E-1,6.949519515E-1
5.150150417E0,8.802092820E-2,6.367649436E-1,6.248824000E-1
5.170190417E0,6.374438852E-2,2.781731486E-1,5.093460083E-1
5.190230417E0,1.751803756E-1,1.629759818E-1,3.528426886E-1
5.210270417E0,1.461257637E-1,4.630415142E-2,2.494429499E-1
5.230310417E0,3.557071462E-2,8.197402954E-1,1.574449688E-1
5.250350417E0,2.874423191E-2,1.490891725E-1,-4.750790074E-2
5.270390417E0,-1.777596176E-1,2.678705156E-1,1.374290437E-1
5.290430417E0,-5.221318826E-2,-7.013755292E-2,-3.661713563E-3
5.310471417E0,-8.828413486E-2,-1.700266451E-1,-2.496623993E-1
5.330511417E0,7.203311473E-2,-2.697882354E-1,-5.176115036E-1
5.350551417E0,2.442201376E-1,-3.756003082E-1,-8.724086881E-1
5.370591417E0,3.519767523E-1,-5.711394548E-1,-1.174336910E0
5.390631417E0,3.513529003E-1,-5.798040628E-1,-1.179086804E0
5.410671417E0,5.440063477E-1,-2.652249932E-1,-1.033082366E0
5.430711417E0,5.099311471E-1,4.166439176E-2,-8.637613058E-1
5.450751417E0,3.604063690E-1,3.054850101E-1,-6.678535342E-1
5.470791417E0,1.842034161E-1,5.477658510E-1,-4.863623083E-1
5.490831417E0,4.355758801E-2,4.756418169E-1,-3.679778278E-1
5.510871417E0,-4.580676928E-2,3.251507878E-1,-2.529633343E-1
