"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.919363083E0,2.637789917E1,3.114660263E1,-2.541842651E1
3.939402083E0,2.627276611E1,3.084347534E1,-2.567703247E1
3.959441083E0,2.585153198E1,3.077244949E1,-2.700173950E1
3.979480083E0,2.506938171E1,3.073851776E1,-2.753970337E1
3.999519084E0,2.444245911E1,3.108676910E1,-2.780130005E1
4.019558083E0,2.380429077E1,3.133792686E1,-2.756631470E1
4.039597083E0,2.339276123E1,3.170187569E1,-2.783004761E1
4.059636083E0,2.288543701E1,3.236566544E1,-2.723077393E1
4.079675083E0,2.246652222E1,3.309525681E1,-2.675036621E1
4.099714084E0,2.245693970E1,3.421592712E1,-2.582015991E1
4.119753083E0,2.256805420E1,3.532809067E1,-2.387777710E1
4.139792083E0,2.278585815E1,3.627378082E1,-2.261126709E1
4.159831083E0,2.354136658E1,3.715660095E1,-2.081945801E1
4.179870083E0,2.379411316E1,3.773115540E1,-1.992678833E1
4.199909084E0,2.377371216E1,3.799448776E1,-1.925619507E1
4.219948083E0,2.363560486E1,3.831597900E1,-1.925714111E1
4.239987083E0,2.373609924E1,3.781676483E1,-1.933514404E1
4.260026083E0,2.358802795E1,3.764289856E1,-1.951388550E1
4.280065083E0,2.349899292E1,3.772512054E1,-2.020132446E1
4.300104083E0,2.283335876E1,3.749263763E1,-2.123330688E1
4.320143083E0,2.277505493E1,3.717061615E1,-2.163778687E1
4.340182084E0,2.319837952E1,3.725792694E1,-2.112667847E1
4.360221083E0,2.390217590E1,3.774738693E1,-2.038040161E1
4.380260083E0,2.406680298E1,3.764344788E1,-2.031466675E1
4.400299083E0,2.405537415E1,3.784993744E1,-1.958078003E1
4.420338083E0,2.364265442E1,3.787291718E1,-1.989260864E1
4.440377084E0,2.336633301E1,3.815907288E1,-2.047268677E1
4.460416083E0,2.348951721E1,3.803651428E1,-2.025671387E1
4.480455083E0,2.343576050E1,3.839727783E1,-2.000543213E1
4.500494083E0,2.349234009E1,3.836648560E1,-1.900369263E1
4.520533083E0,2.388031006E1,3.897431564E1,-1.789270020E1
4.540572084E0,2.419512939E1,3.864129639E1,-1.746459961E1
4.560611083E0,2.425727844E1,3.879588699E1,-1.754830933E1
4.580650083E0,2.470130920E1,3.866207886E1,-1.729196167E1
4.600689083E0,2.541780090E1,3.866941071E1,-1.721423340E1
4.620728083E0,2.559249878E1,3.840188980E1,-1.707208252E1
4.640767084E0,2.566122437E1,3.833137512E1,-1.698928833E1
4.660806083E0,2.529434204E1,3.792049408E1,-1.755337524E1
4.680845084E0,2.552163696E1,3.782072449E1,-1.761337280E1
4.700884083E0,2.601219177E1,3.795587158E1,-1.696890259E1
4.720923083E0,2.635848999E1,3.800650406E1,-1.660449219E1
4.740962083E0,2.646818542E1,3.737843704E1,-1.780819702E1
4.761001083E0,2.595249939E1,3.719061661E1,-1.871929932E1
4.781040084E0,2.629098511E1,3.630600739E1,-1.940100098E1
4.801079083E0,2.665351868E1,3.564908600E1,-1.968988037E1
4.821118083E0,2.697515869E1,3.487934875E1,-2.082305908E1
4.841156917E0,2.704196167E1,3.388791275E1,-2.202713013E1
4.861195916E0,2.685411072E1,3.274700928E1,-2.325775146E1
4.881234917E0,2.669511414E1,3.197669411E1,-2.455117798E1
4.901273916E0,2.691775513E1,3.113603592E1,-2.601556396E1
4.921312916E0,2.695436096E1,3.057997513E1,-2.598620605E1
4.941351917E0,2.668054199E1,3.061732483E1,-2.586199951E1
4.961390916E0,2.686097717E1,3.037587738E1,-2.596322632E1
4.981429917E0,2.676953125E1,3.030929947E1,-2.614117432E1
5.001468916E0,2.653755188E1,3.021235275E1,-2.638696289E1
5.021507917E0,2.593368530E1,3.042786026E1,-2.675616455E1
5.041546917E0,2.596168518E1,3.080215836E1,-2.725161743E1
5.061585916E0,2.553500366E1,3.069504929E1,-2.729971313E1
5.081624917E0,2.539611816E1,3.034181976E1,-2.700866699E1
5.101663916E0,2.526171875E1,3.053490829E1,-2.683935547E1
5.121702917E0,2.565493774E1,3.081632996E1,-2.658276367E1
5.141741917E0,2.573838806E1,3.105614853E1,-2.647897339E1
5.161780916E0,2.588102722E1,3.151819611E1,-2.552929688E1
5.181819917E0,2.623391724E1,3.226555634E1,-2.392965698E1
5.201858916E0,2.616958618E1,3.322793579E1,-2.254110718E1
5.221897917E0,2.695454407E1,3.410596466E1,-2.158731079E1
5.241936916E0,2.758259583E1,3.429494476E1,-1.983938599E1
5.261975916E0,2.799577332E1,3.442584991E1,-1.868542480E1
5.282014917E0,2.833673859E1,3.468357086E1,-1.825210571E1
5.302053916E0,2.827163696E1,3.430492401E1,-1.812393188E1
5.322092917E0,2.820897675E1,3.386865616E1,-1.890618896E1
5.342131916E0,2.814342499E1,3.371215820E1,-1.955978394E1
5.362170917E0,2.778115845E1,3.336123657E1,-2.006985474E1
5.382209917E0,2.795892334E1,3.333628464E1,-1.999826050E1
5.402248916E0,2.853380585E1,3.369718170E1,-1.922128296E1
5.422287917E0,2.848097229E1,3.432339478E1,-1.844302368E1
5.442326916E0,2.785256958E1,3.452455139E1,-1.809353638E1
5.462365917E0,2.770271301E1,3.472161102E1,-1.824935913E1
5.482404917E0,2.720881653E1,3.454981232E1,-1.858810425E1
5.502443916E0,2.693095398E1,3.443360901E1,-1.864746094E1
5.522482917E0,2.693218994E1,3.498892975E1,-1.866137695E1
5.542521916E0,2.708932495E1,3.492600632E1,-1.838833618E1
5.562560917E0,2.714572144E1,3.523737335E1,-1.796295166E1
5.582599916E0,2.744181824E1,3.541838455E1,-1.716799927E1
5.602638916E0,2.728050232E1,3.494617462E1,-1.681723022E1
5.622677917E0,2.724290466E1,3.493614960E1,-1.656448364E1
5.642716916E0,2.759709167E1,3.497072983E1,-1.590045166E1
5.662755917E0,2.743658447E1,3.473331451E1,-1.608633423E1
5.682794916E0,2.706451416E1,3.445440674E1,-1.628790283E1
5.702833917E0,2.626387024E1,3.408124542E1,-1.704666138E1
5.722872917E0,2.542515564E1,3.406597519E1,-1.743768311E1
5.742911916E0,2.516368103E1,3.406620789E1,-1.747320557E1
5.762950917E0,2.532395935E1,3.423828888E1,-1.671447754E1
5.782989916E0,2.504924011E1,3.427961731E1,-1.633566284E1
5.803028917E0,2.505030823E1,3.421847534E1,-1.658178711E1
5.823067917E0,2.505665588E1,3.388706207E1,-1.682403564E1
5.843104334E0,2.494459534E1,3.349693298E1,-1.717901611E1
5.863143333E0,2.489450073E1,3.277546692E1,-1.785534668E1
5.883182333E0,2.454333496E1,3.217024231E1,-1.833792114E1
5.903221333E0,2.441299438E1,3.134514427E1,-1.934213257E1
5.923260333E0,2.429039001E1,3.068223953E1,-2.006710815E1
5.943299334E0,2.379046631E1,3.022851562E1,-2.094104004E1
5.963338333E0,2.352267456E1,3.001803207E1,-2.114828491E1
5.983377333E0,2.319070435E1,2.959458160E1,-2.125036621E1
6.003416333E0,2.308613586E1,2.931100845E1,-2.157138062E1
6.023455333E0,2.271636963E1,2.907355118E1,-2.165634155E1
6.043494334E0,2.272013855E1,2.856053162E1,-2.202572632E1
6.063533333E0,2.293287659E1,2.797549438E1,-2.214837646E1
6.083572333E0,2.272430420E1,2.791070557E1,-2.221786499E1
6.103611333E0,2.222325134E1,2.813472366E1,-2.259310913E1
6.123650333E0,2.170515442E1,2.770576477E1,-2.277743530E1
6.143689333E0,2.132495117E1,2.782392502E1,-2.247143555E1
6.163728333E0,2.077532959E1,2.808909225E1,-2.178970337E1
6.183767334E0,2.068423462E1,2.820758820E1,-2.153479004E1
6.203806333E0,2.082179260E1,2.846415329E1,-2.090225220E1
6.223845333E0,2.108378601E1,2.870829010E1,-1.968566895E1
6.243884333E0,2.144569397E1,2.907908249E1,-1.811029053E1
6.263923333E0,2.188801575E1,2.927685928E1,-1.703076172E1
6.283962334E0,2.231704712E1,2.950429153E1,-1.567388916E1
6.304001333E0,2.290126038E1,2.931521988E1,-1.488647461E1
6.324040333E0,2.302290344E1,2.913997269E1,-1.520431519E1
6.344079333E0,2.246490479E1,2.880897522E1,-1.569396973E1
6.364118333E0,2.244740295E1,2.851573563E1,-1.603778076E1
6.384157334E0,2.206071472E1,2.851221848E1,-1.635360718E1
6.404196333E0,2.165914917E1,2.825794601E1,-1.655899048E1
6.424235333E0,2.192787170E1,2.807097626E1,-1.678488159E1
6.444274333E0,2.276564026E1,2.792639160E1,-1.619650269E1
6.464313333E0,2.371867371E1,2.756656647E1,-1.497793579E1
6.484352333E0,2.400521851E1,2.712514114E1,-1.424697876E1
6.504391333E0,2.402421570E1,2.735934830E1,-1.423049927E1
6.524430334E0,2.454676819E1,2.683343124E1,-1.437442017E1
6.544469333E0,2.501181030E1,2.654765320E1,-1.454275513E1
6.564508333E0,2.552555847E1,2.636624146E1,-1.450210571E1
6.584547333E0,2.589842224E1,2.608640671E1,-1.443209839E1
6.604586333E0,2.667961121E1,2.583745575E1,-1.384475708E1
6.624625334E0,2.732945251E1,2.574232101E1,-1.315921021E1
6.644664333E0,2.789844513E1,2.564879608E1,-1.294619751E1
6.664703333E0,2.861407471E1,2.587514496E1,-1.264923096E1
6.684742333E0,2.905165863E1,2.529306412E1,-1.262841797E1
6.704781333E0,2.896900177E1,2.518310928E1,-1.247348022E1
6.724820334E0,2.861087036E1,2.498712540E1,-1.214236450E1
6.744859333E0,2.828467560E1,2.493163300E1,-1.253552246E1
6.764898333E0,2.816067505E1,2.490753555E1,-1.275097656E1
6.784937333E0,2.803111267E1,2.500597000E1,-1.332431030E1
6.804976333E0,2.818718719E1,2.481718826E1,-1.303933716E1
6.825015333E0,2.863432312E1,2.484620667E1,-1.276132202E1
6.845053666E0,2.874291992E1,2.517395782E1,-1.208923340E1
6.865092667E0,2.869683838E1,2.542025375E1,-1.183013916E1
6.885131666E0,2.876417542E1,2.535444260E1,-1.165017700E1
