"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.420338083E0,-2.173212357E-2,-4.759461153E-3,-1.185667366E-1
4.440377084E0,-1.585493982E-1,1.979763657E-1,-1.164793745E-1
4.460416083E0,-3.846909106E-1,2.298163995E-2,1.225065067E-1
4.480455083E0,-7.148649693E-1,-6.919126213E-2,2.655873895E-1
4.500494083E0,-8.451328874E-1,1.026498973E-1,1.716088057E-1
4.520533083E0,-5.265710354E-1,1.450346410E-1,1.409914345E-1
4.540572084E0,-2.941201441E-2,-7.541394234E-2,2.187982053E-1
4.560611083E0,-2.581968009E-1,9.104461968E-2,5.433327556E-1
4.580650083E0,-6.181027293E-1,9.443785250E-2,9.098737240E-1
4.600689083E0,-6.394701004E-1,-1.177418828E-1,9.464600086E-1
4.620728083E0,-5.210480690E-1,-5.831639767E-1,8.690829873E-1
4.640767084E0,9.179266170E-3,-6.832953691E-1,4.949719608E-1
4.660806083E0,7.256102562E-2,-7.150144577E-1,7.502491772E-2
4.680845084E0,-3.898251951E-1,5.206531882E-1,8.445583517E-4
4.700884083E0,-3.999463618E-1,7.843335271E-1,4.205103219E-1
4.720923083E0,5.102149248E-1,6.346678734E-2,3.437895775E-1
4.740962083E0,1.465597749E0,-5.380145907E-1,-3.234056011E-2
4.761001083E0,1.542121291E0,-6.714384258E-2,-1.714299023E-1
4.781040084E0,1.232219696E0,1.317571521E0,1.790609658E-1
4.801079083E0,1.200090528E0,1.092180371E0,2.770369947E-1
4.821118083E0,1.288399100E0,-1.636734232E-3,3.385906816E-1
4.841156917E0,1.492276311E0,-5.798972249E-1,4.311186075E-1
4.861195916E0,1.719051719E0,-4.236423373E-1,3.459728360E-1
4.881234917E0,1.571212530E0,1.953542233E-4,1.580522805E-1
4.901273916E0,1.184328675E0,2.362545580E-1,1.575313359E-1
4.921312916E0,6.437452435E-1,1.419878900E-1,1.573287100E-1
4.941351917E0,2.530453205E-1,-1.071182787E-1,7.539569587E-2
4.961390916E0,1.348635703E-1,-2.430443019E-1,-1.896994945E-4
4.981429917E0,5.060340464E-2,-4.258632362E-1,-4.079508036E-2
5.001468916E0,-5.412527919E-2,-6.469427347E-1,-6.460648030E-2
5.021507917E0,-5.905973539E-2,-7.348120213E-1,-3.495639935E-2
5.041546917E0,-9.872356057E-2,-5.578756928E-1,-5.573559925E-2
5.061585916E0,-1.777492613E-1,-1.668422669E-1,-1.690729111E-1
5.081624917E0,-1.461680979E-1,3.250295222E-1,-2.663313746E-1
5.101663916E0,-1.084361877E-2,8.903743029E-1,-1.985397488E-1
5.121702917E0,-1.364945620E-1,1.001611233E0,-2.280579954E-1
5.141741917E0,-5.831251740E-1,9.392485619E-1,-4.488592446E-1
5.161780916E0,-1.133008718E0,9.207396507E-1,-4.949242473E-1
5.181819917E0,-1.545067668E0,9.662907720E-1,-4.936034381E-1
5.201858916E0,-1.813495994E0,8.438414335E-1,-3.221940398E-1
5.221897917E0,-1.888716221E0,6.700078249E-1,1.931048185E-1
5.241936916E0,-1.763908625E0,3.801002204E-1,6.138473749E-1
