"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.799161887E1,3.211746602E1,1.189520804E2,2.007127411E1,9.966401546E-1,5.513656375E1,8.902221146E0,8.902221146E0
9.899163032E1,3.211747705E1,1.189520976E2,1.981072293E1,1.196200836E0,5.612537266E1,9.139947602E0,9.139947602E0
9.999164331E1,3.211747713E1,1.189521060E2,1.945524109E1,9.935539333E-1,5.818082342E1,9.363555860E0,9.363555860E0
1.009916550E2,3.211747756E1,1.189521146E2,2.007989999E1,7.421493199E-1,6.262707053E1,9.510106678E0,9.510106678E0
1.019916703E2,3.211747986E1,1.189521378E2,2.033490245E1,1.014343500E0,6.703654984E1,9.791581720E0,9.791581720E0
1.029916794E2,3.211748629E1,1.189521547E2,2.020547054E1,1.104931492E0,6.617323619E1,1.016313613E1,1.016313613E1
1.039916916E2,3.211749240E1,1.189521691E2,1.989915506E1,1.147797742E0,6.658479238E1,1.054757343E1,1.054757343E1
1.049917041E2,3.211750230E1,1.189521853E2,1.963265660E1,1.348207569E0,6.537991642E1,1.081529086E1,1.081529086E1
1.059917160E2,3.211751542E1,1.189521933E2,1.957601147E1,1.249403687E0,6.171028843E1,1.104373414E1,1.104373414E1
1.069917293E2,3.211752874E1,1.189522087E2,2.011192720E1,1.415273908E0,6.025878511E1,1.115296395E1,1.115296395E1
1.079917411E2,3.211752936E1,1.189522116E2,1.955782260E1,9.640363207E-1,6.225061797E1,1.114041442E1,1.114041442E1
1.089917537E2,3.211753592E1,1.189522251E2,1.991731086E1,9.444750265E-1,6.245723991E1,1.109081595E1,1.109081595E1
1.099917651E2,3.211754230E1,1.189522355E2,2.022595360E1,8.964620097E-1,6.330630414E1,1.159451460E1,1.159451460E1
1.109917774E2,3.211756094E1,1.189522395E2,2.002196565E1,8.122692196E-1,5.235269530E1,1.151618806E1,1.151618806E1
1.119917887E2,3.211757082E1,1.189522439E2,1.990384024E1,7.993480213E-1,5.066299576E1,1.155481752E1,1.155481752E1
1.129918023E2,3.211757822E1,1.189522504E2,1.995695594E1,7.622484370E-1,5.044616374E1,1.147140452E1,1.147140452E1
1.139918135E2,3.211758728E1,1.189522593E2,2.016398412E1,8.300305072E-1,4.942067029E1,1.134045511E1,1.134045511E1
1.149918256E2,3.211758919E1,1.189522686E2,2.017486130E1,7.910556724E-1,5.140872826E1,1.134815779E1,1.134815779E1
1.159918386E2,3.211759616E1,1.189522794E2,2.021763866E1,9.832758161E-1,5.209490998E1,1.140915848E1,1.140915848E1
1.169918503E2,3.211760957E1,1.189522908E2,2.001895051E1,1.177125502E0,4.899106446E1,1.142294936E1,1.142294936E1
1.179918640E2,3.211762221E1,1.189523089E2,1.995680711E1,1.429313313E0,4.952951924E1,1.117506653E1,1.117506653E1
1.189918755E2,3.211762751E1,1.189523236E2,2.000148216E1,1.639145364E0,4.787409980E1,1.001579562E1,1.001579562E1
1.199918882E2,3.211763083E1,1.189523427E2,1.993443080E1,1.706260262E0,5.185112125E1,9.240405936E0,9.240405936E0
1.209919007E2,3.211763824E1,1.189523471E2,2.028883968E1,1.407819642E0,4.902903544E1,8.759860458E0,8.759860458E0
1.219919126E2,3.211764230E1,1.189523480E2,2.040550405E1,1.121596934E0,4.414236063E1,8.301732680E0,8.301732680E0
1.229919252E2,3.211763890E1,1.189523517E2,2.005093921E1,7.879835940E-1,4.757935506E1,7.957010948E0,7.957010948E0
1.239919380E2,3.211765237E1,1.189523618E2,1.981586699E1,1.146039089E0,4.185456852E1,7.673011567E0,7.673011567E0
1.249919494E2,3.211765526E1,1.189523565E2,2.011700762E1,8.196356018E-1,3.031833821E1,7.534847303E0,7.534847303E0
1.259919618E2,3.211765356E1,1.189523644E2,2.013165594E1,7.329226622E-1,4.493426316E1,7.354825267E0,7.354825267E0
1.269919744E2,3.211765832E1,1.189523814E2,2.020219964E1,1.091141586E0,5.034029832E1,7.216298227E0,7.216298227E0
1.279919868E2,3.211766206E1,1.189523856E2,2.027505277E1,9.492240694E-1,5.140442813E1,7.085177631E0,7.085177631E0
1.289919994E2,3.211767173E1,1.189523948E2,2.039041114E1,1.118096451E0,4.887636158E1,7.137492752E0,7.137492752E0
1.299920121E2,3.211767761E1,1.189524008E2,2.018465906E1,1.007993918E0,4.750083222E1,7.200070589E0,7.200070589E0
1.309920239E2,3.211768533E1,1.189524072E2,1.998075299E1,9.857175080E-1,4.548232989E1,7.211181723E0,7.211181723E0
1.319920367E2,3.211769731E1,1.189524191E2,2.033900035E1,1.108165871E0,4.399604123E1,7.422701091E0,7.422701091E0
1.329917704E2,3.211770044E1,1.189524353E2,2.012084884E1,1.079915875E0,5.012474184E1,7.678554981E0,7.678554981E0
1.339917556E2,3.211770204E1,1.189524371E2,2.016500835E1,6.972921564E-1,5.268360241E1,7.978671313E0,7.978671313E0
1.349917303E2,3.211771015E1,1.189524481E2,2.005485053E1,7.573217793E-1,5.269285061E1,8.220573100E0,8.220573100E0
1.359917002E2,3.211771899E1,1.189524486E2,1.973622904E1,6.546932114E-1,4.344377359E1,8.646208972E0,8.646208972E0
1.369916605E2,3.211772720E1,1.189524582E2,1.961800905E1,6.898117424E-1,4.475040626E1,9.062319180E0,9.062319180E0
1.379916228E2,3.211774736E1,1.189524662E2,1.958156703E1,8.606329061E-1,3.686581673E1,9.215634185E0,9.215634185E0
1.389915736E2,3.211775326E1,1.189524717E2,2.018967993E1,7.536481096E-1,3.608536865E1,9.361813863E0,9.361813863E0
1.399915328E2,3.211776542E1,1.189524856E2,2.038248725E1,1.068528512E0,3.938114718E1,9.476173814E0,9.476173814E0
1.409914837E2,3.211776954E1,1.189524893E2,2.059359087E1,9.859136367E-1,3.888843837E1,9.365418633E0,9.365418633E0
1.419914455E2,3.211777818E1,1.189525015E2,2.027131971E1,1.058359209E0,4.049809058E1,9.468690450E0,9.468690450E0
1.429913976E2,3.211779551E1,1.189525089E2,2.006971888E1,1.034011673E0,3.674674284E1,9.629774543E0,9.629774543E0
1.439913588E2,3.211781011E1,1.189525212E2,2.005348806E1,1.133421853E0,3.852589794E1,9.901656168E0,9.901656168E0
1.449913113E2,3.211782773E1,1.189525265E2,2.003345392E1,1.101857204E0,3.530722775E1,1.007856717E1,1.007856717E1
1.459912760E2,3.211783936E1,1.189525434E2,1.976035433E1,1.409545199E0,3.831630823E1,1.030140085E1,1.030140085E1
1.469912322E2,3.211785133E1,1.189525461E2,2.033452666E1,1.233832301E0,3.465408350E1,1.043604705E1,1.043604705E1
1.479912018E2,3.211789172E1,1.189525603E2,2.042146693E1,1.834825709E0,3.349367013E1,1.039817706E1,1.039817706E1
1.489911591E2,3.211790663E1,1.189525625E2,2.030140914E1,1.431163658E0,3.033162545E1,1.051159551E1,1.051159551E1
1.499911265E2,3.211792343E1,1.189525711E2,2.041840256E1,1.318184647E0,3.005101564E1,1.047418398E1,1.047418398E1
1.509910873E2,3.211794153E1,1.189525784E2,2.032467641E1,1.268789453E0,3.070101148E1,1.028719509E1,1.028719509E1
1.519910591E2,3.211795903E1,1.189525834E2,2.033199356E1,1.220074651E0,2.934589839E1,1.022557543E1,1.022557543E1
1.529910346E2,3.211795819E1,1.189525923E2,2.064048162E1,1.014320433E0,2.986071945E1,1.028805507E1,1.028805507E1
1.539910104E2,3.211798143E1,1.189525994E2,2.107775679E1,1.330489322E0,2.978977387E1,1.003658618E1,1.003658618E1
1.549909884E2,3.211799118E1,1.189526127E2,2.120963722E1,1.485093263E0,3.217640597E1,9.925997381E0,9.925997381E0
1.559909695E2,3.211801201E1,1.189526215E2,2.072030045E1,1.725925095E0,3.105623098E1,9.690540755E0,9.690540755E0
1.569909525E2,3.211801957E1,1.189526212E2,2.075893299E1,1.200932656E0,2.720741936E1,9.374653176E0,9.374653176E0
1.579909345E2,3.211803758E1,1.189526369E2,2.065435520E1,1.495849513E0,3.533684304E1,9.094875744E0,9.094875744E0
1.589909216E2,3.211805385E1,1.189526436E2,2.119407634E1,1.357850010E0,3.311424149E1,9.009857799E0,9.009857799E0
1.599909062E2,3.211806725E1,1.189526466E2,2.102991356E1,1.129938306E0,3.046758330E1,8.744615223E0,8.744615223E0
1.609908940E2,3.211807922E1,1.189526545E2,2.103026269E1,1.016310521E0,3.558380875E1,8.585028695E0,8.585028695E0
1.619908835E2,3.211809584E1,1.189526621E2,2.108976997E1,8.220492252E-1,4.559126909E1,8.380156457E0,8.380156457E0
1.629908744E2,3.211812665E1,1.189526715E2,2.106255966E1,8.665951169E-1,4.301863753E1,8.156926223E0,8.156926223E0
1.639908650E2,3.211815345E1,1.189526803E2,2.154960839E1,8.390812280E-1,4.814387285E1,7.930201666E0,7.930201666E0
1.649908574E2,3.211817086E1,1.189526877E2,2.165113231E1,7.330774069E-1,5.742893291E1,7.817701317E0,7.817701317E0
1.659908507E2,3.211817896E1,1.189526950E2,2.121143761E1,8.976250704E-1,5.724060749E1,7.794998581E0,7.794998581E0
1.669908447E2,3.211821821E1,1.189527027E2,2.121959827E1,1.155581250E0,5.159531374E1,7.740431075E0,7.740431075E0
1.679908390E2,3.211823347E1,1.189527034E2,2.144020843E1,1.016373646E0,4.554500097E1,7.757886881E0,7.757886881E0
1.689908352E2,3.211824347E1,1.189527146E2,2.147370924E1,1.025573938E0,5.019225483E1,7.716013506E0,7.716013506E0
1.699908315E2,3.211825509E1,1.189527308E2,2.140352674E1,1.305787442E0,5.138744367E1,7.604010863E0,7.604010863E0
1.709908290E2,3.211826361E1,1.189527395E2,2.102610627E1,1.104377447E0,5.218521961E1,7.450375979E0,7.450375979E0
1.719908267E2,3.211823026E1,1.189527549E2,2.106925027E1,6.012600004E-1,9.372731542E1,7.147386093E0,7.147386093E0
1.729908253E2,3.211820414E1,1.189527778E2,2.124797550E1,5.722368409E-1,1.042257300E2,6.721665918E0,6.721665918E0
1.739908236E2,3.211818848E1,1.189527864E2,2.124328094E1,0.000000000E0,1.112825719E2,6.422724114E0,6.422724114E0
1.749908236E2,3.211815476E1,1.189528161E2,2.093908002E1,0.000000000E0,1.112825893E2,5.797616753E0,5.797616753E0
1.759908239E2,3.211812602E1,1.189528452E2,2.054429475E1,6.300582288E-1,7.758253885E1,5.400243859E0,5.400243859E0
1.769908348E2,3.211812839E1,1.189528680E2,2.090062699E1,7.800531712E-1,7.288362264E1,5.256124032E0,5.256124032E0
1.779908259E2,3.211813096E1,1.189528894E2,2.069567055E1,8.836544888E-1,6.278031430E1,5.205683942E0,5.205683942E0
1.789908265E2,3.211813849E1,1.189529081E2,2.082525030E1,8.211577615E-1,6.676622821E1,5.160328192E0,5.160328192E0
1.799908270E2,3.211814706E1,1.189529148E2,2.111020504E1,7.074955167E-1,4.932923982E1,5.135935891E0,5.135935891E0
1.809908299E2,3.211815027E1,1.189529272E2,2.132166236E1,7.589836954E-1,5.512282435E1,5.111910834E0,5.111910834E0
1.819908335E2,3.211815195E1,1.189529394E2,2.141166570E1,8.529659607E-1,5.939953919E1,5.092594280E0,5.092594280E0
1.829908360E2,3.211815587E1,1.189529474E2,2.148637088E1,8.613830309E-1,5.953057211E1,5.133554161E0,5.133554161E0
1.839908379E2,3.211816846E1,1.189529583E2,2.088969848E1,8.048841153E-1,4.583260253E1,5.094204474E0,5.094204474E0
1.849908564E2,3.211817294E1,1.189529682E2,2.176876512E1,4.202619594E-1,6.126127805E1,5.064072135E0,5.064072135E0
1.859908442E2,3.211818005E1,1.189529871E2,2.122712567E1,6.886247711E-1,6.418671434E1,5.038259625E0,5.038259625E0
1.869908481E2,3.211819224E1,1.189529960E2,2.153501780E1,0.000000000E0,6.575447755E1,5.009635461E0,5.009635461E0
1.879908524E2,3.211820339E1,1.189530049E2,2.145744048E1,0.000000000E0,5.482285488E1,4.980504884E0,4.980504884E0
1.889908590E2,3.211821583E1,1.189530108E2,2.131648443E1,5.343083358E-1,4.751143417E1,4.962922140E0,4.962922140E0
1.899908627E2,3.211821945E1,1.189530063E2,2.119394484E1,0.000000000E0,4.981011831E1,4.949140846E0,4.949140846E0
1.909908646E2,3.211822842E1,1.189530058E2,2.124167027E1,0.000000000E0,4.981011723E1,4.934707793E0,4.934707793E0
1.919908696E2,3.211823576E1,1.189530048E2,2.163339947E1,0.000000000E0,4.981011598E1,4.929834089E0,4.929834089E0
1.929908797E2,3.211824157E1,1.189530031E2,2.124252466E1,0.000000000E0,4.981011444E1,4.927692047E0,4.927692047E0
1.939908795E2,3.211825632E1,1.189530102E2,2.099869727E1,1.042601728E0,3.413522237E1,4.916388560E0,4.916388560E0
