"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
6.138923812E1,3.211722420E1,1.189513659E2,1.973604255E1,1.462485012E0,2.373297856E2,4.728739974E0,4.728739974E0
6.238924181E1,3.211722492E1,1.189513557E2,1.977464031E1,1.168583389E0,2.445197145E2,4.728645753E0,4.728645753E0
6.338924265E1,3.211721628E1,1.189513412E2,1.999000212E1,1.273628801E0,2.420563932E2,4.736350576E0,4.736350576E0
6.438924599E1,3.211721552E1,1.189513255E2,1.945948568E1,1.250518422E0,2.471718438E2,4.743057943E0,4.743057943E0
6.538924849E1,3.211721072E1,1.189513038E2,1.956197081E1,1.438089366E0,2.471634231E2,4.740531456E0,4.740531456E0
6.638925087E1,3.211720845E1,1.189512842E2,1.951280454E1,1.688871434E0,2.463773013E2,4.722791962E0,4.722791962E0
6.738925338E1,3.211720183E1,1.189512804E2,1.954680750E1,1.306475913E0,2.419466304E2,4.727978483E0,4.727978483E0
6.838925672E1,3.211720118E1,1.189512692E2,1.959771140E1,1.017212398E0,2.414986418E2,4.737632074E0,4.737632074E0
6.938925898E1,3.211719754E1,1.189512592E2,1.940103354E1,1.101447174E0,2.407437338E2,4.730452524E0,4.730452524E0
7.038926148E1,3.211719320E1,1.189512465E2,1.880539889E1,1.072851725E0,2.378876197E2,4.737596324E0,4.737596324E0
7.138926482E1,3.211718998E1,1.189512332E2,1.868891135E1,1.164738183E0,2.425178343E2,4.726957929E0,4.726957929E0
7.238926709E1,3.211718790E1,1.189512196E2,1.896029267E1,1.054291632E0,2.431106661E2,4.718028954E0,4.718028954E0
7.338926935E1,3.211718727E1,1.189512069E2,1.895766799E1,9.365146843E-1,2.480170765E2,4.725946166E0,4.725946166E0
7.438927269E1,3.211718636E1,1.189511940E2,1.894315591E1,9.899011793E-1,2.467735929E2,4.723582549E0,4.723582549E0
7.538927567E1,3.211717693E1,1.189511796E2,1.894082795E1,1.129052203E0,2.372005382E2,4.723347623E0,4.723347623E0
7.638927770E1,3.211717324E1,1.189511705E2,1.916604274E1,1.089957126E0,2.382902168E2,4.723256437E0,4.723256437E0
7.738927972E1,3.211716985E1,1.189511600E2,1.970474975E1,1.115075765E0,2.355771985E2,4.723399354E0,4.723399354E0
7.838928330E1,3.211716499E1,1.189511523E2,1.962202818E1,9.793151532E-1,2.398424529E2,4.727383630E0,4.727383630E0
7.938928556E1,3.211715879E1,1.189511333E2,1.906103689E1,1.296903937E0,2.421925047E2,4.729388247E0,4.729388247E0
8.038928854E1,3.211714982E1,1.189511154E2,1.828524373E1,1.427506278E0,2.384873459E2,4.732412937E0,4.732412937E0
8.138929117E1,3.211714719E1,1.189511066E2,1.847870960E1,1.077761339E0,2.432387405E2,4.732505790E0,4.732505790E0
8.238929379E1,3.211714275E1,1.189510873E2,1.805752811E1,1.128467763E0,2.438952693E2,4.736450499E0,4.736450499E0
8.338929677E1,3.211714024E1,1.189510686E2,1.729468762E1,1.124105512E0,2.447930075E2,4.735605211E0,4.735605211E0
8.438930023E1,3.211714088E1,1.189510503E2,1.725958465E1,1.198375934E0,2.469655943E2,4.734103018E0,4.734103018E0
8.538930261E1,3.211714451E1,1.189510356E2,1.755155321E1,1.211006111E0,2.490949926E2,4.731279003E0,4.731279003E0
8.638930440E1,3.211714045E1,1.189510239E2,1.737719456E1,1.042125880E0,2.454622015E2,4.733366459E0,4.733366459E0
8.738930666E1,3.211713918E1,1.189510081E2,1.751916329E1,1.123429138E0,2.440200358E2,4.732516261E0,4.732516261E0
8.838930988E1,3.211713110E1,1.189509940E2,1.711659933E1,1.125831421E0,2.447515987E2,4.725270079E0,4.725270079E0
8.938931274E1,3.211712987E1,1.189509851E2,1.710414094E1,9.054486117E-1,2.430625224E2,4.720673064E0,4.720673064E0
9.038931525E1,3.211712359E1,1.189509755E2,1.704007450E1,7.957068878E-1,2.426137814E2,4.716901601E0,4.716901601E0
9.138931823E1,3.211711836E1,1.189509608E2,1.703647788E1,1.043990888E0,2.416755310E2,4.714291307E0,4.714291307E0
9.238932061E1,3.211711623E1,1.189509540E2,1.749481201E1,7.404036684E-1,2.421746368E2,4.719182787E0,4.719182787E0
9.338932300E1,3.211711360E1,1.189509394E2,1.739011144E1,1.005426670E0,2.419387985E2,4.721921400E0,4.721921400E0
9.438932598E1,3.211710490E1,1.189509218E2,1.744697684E1,1.347225033E0,2.404872650E2,4.722408565E0,4.722408565E0
9.538932872E1,3.211710156E1,1.189509113E2,1.862950765E1,9.982719884E-1,2.412923550E2,4.722812981E0,4.722812981E0
9.638933206E1,3.211710164E1,1.189508929E2,1.773724382E1,1.195084992E0,2.532706060E2,4.720435928E0,4.720435928E0
9.738933408E1,3.211709962E1,1.189508799E2,1.744548023E1,1.005601805E0,2.576740318E2,4.722256470E0,4.722256470E0
9.838933682E1,3.211710167E1,1.189508685E2,1.704198982E1,9.609314852E-1,2.622887688E2,4.724921099E0,4.724921099E0
9.938933957E1,3.211709606E1,1.189508441E2,1.678167308E1,1.591857061E0,2.584689463E2,4.726685369E0,4.726685369E0
1.003893425E2,3.211709241E1,1.189508349E2,1.695303919E1,1.062331225E0,2.560358577E2,4.721722300E0,4.721722300E0
1.013893453E2,3.211708248E1,1.189508146E2,1.672513722E1,1.487335301E0,2.464617553E2,4.723221869E0,4.723221869E0
1.023893479E2,3.211707735E1,1.189508075E2,1.730283479E1,1.007649235E0,2.361515765E2,4.719730110E0,4.719730110E0
1.033893510E2,3.211706599E1,1.189507907E2,1.819105395E1,1.274486085E0,2.342443203E2,4.719078139E0,4.719078139E0
1.043893532E2,3.211705455E1,1.189507697E2,1.770547137E1,1.646628275E0,2.359099954E2,4.721085565E0,4.721085565E0
1.053893569E2,3.211705202E1,1.189507596E2,1.741213551E1,1.417424002E0,2.443242285E2,4.716417074E0,4.716417074E0
1.063893594E2,3.211704852E1,1.189507425E2,1.741112999E1,1.545221447E0,2.523491935E2,4.710216700E0,4.710216700E0
1.073893615E2,3.211704381E1,1.189507272E2,1.692606095E1,1.557537899E0,2.531945768E2,4.705017559E0,4.705017559E0
