"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.741284200E1,2.618403625E1,-1.461162472E1,-4.134223938E1
8.743277900E1,2.669351196E1,-1.312865257E1,-4.152653122E1
8.745271500E1,2.710261536E1,-1.172845936E1,-4.162694931E1
8.747265200E1,2.771270752E1,-1.066203213E1,-4.144611359E1
8.749258800E1,2.828018188E1,-9.833197594E0,-4.119631958E1
8.751252500E1,2.876527405E1,-9.377081871E0,-4.103210068E1
8.753246100E1,2.898725891E1,-9.080825806E0,-4.100019836E1
8.755239800E1,2.910243225E1,-9.028290749E0,-4.095053101E1
8.757233500E1,2.911087036E1,-9.326931000E0,-4.086622620E1
8.759227100E1,2.893838501E1,-9.878206253E0,-4.086781693E1
8.761220800E1,2.884577942E1,-1.019407177E1,-4.088903046E1
8.763214400E1,2.848001099E1,-1.109372807E1,-4.093885803E1
8.765208100E1,2.794943237E1,-1.202542591E1,-4.094170380E1
8.767201700E1,2.716806030E1,-1.306220055E1,-4.127325439E1
8.769195400E1,2.625167847E1,-1.380911255E1,-4.173432922E1
8.771189000E1,2.545355225E1,-1.438965416E1,-4.199996185E1
8.773182700E1,2.493133545E1,-1.512038803E1,-4.192939758E1
8.775176400E1,2.483840942E1,-1.604510117E1,-4.171252441E1
8.777170000E1,2.493904114E1,-1.703029633E1,-4.120836639E1
8.779163700E1,2.513580322E1,-1.801549339E1,-4.069196701E1
8.781157300E1,2.511926270E1,-1.855146408E1,-4.055759048E1
8.783151000E1,2.468290710E1,-1.854131317E1,-4.077984619E1
8.785144600E1,2.391474915E1,-1.809311485E1,-4.131655502E1
8.787138300E1,2.326243591E1,-1.739199066E1,-4.213272858E1
8.789131788E1,2.264234924E1,-1.672491264E1,-4.261359406E1
8.791125488E1,2.251750183E1,-1.617760086E1,-4.291623688E1
8.793119188E1,2.246017456E1,-1.593607712E1,-4.289936066E1
8.795112788E1,2.241044617E1,-1.594620514E1,-4.294806671E1
8.797106488E1,2.233387756E1,-1.592626381E1,-4.292570496E1
8.799100088E1,2.215859985E1,-1.588017082E1,-4.313040161E1
8.801093788E1,2.181271362E1,-1.579158878E1,-4.338879013E1
8.803087388E1,2.143736267E1,-1.551370716E1,-4.362744141E1
8.805081088E1,2.126071167E1,-1.485015297E1,-4.381668854E1
8.807074688E1,2.157434082E1,-1.364731312E1,-4.403495789E1
8.809068388E1,2.255459595E1,-1.209461498E1,-4.396363068E1
8.811062088E1,2.394335938E1,-1.022686195E1,-4.378482056E1
8.813055688E1,2.548622131E1,-8.340560913E0,-4.319431305E1
8.815049388E1,2.686746216E1,-6.686693192E0,-4.275590897E1
8.817042988E1,2.799768066E1,-5.224143982E0,-4.210218048E1
8.819036688E1,2.877491760E1,-4.059179306E0,-4.170906830E1
8.821030288E1,2.932489014E1,-3.142316818E0,-4.129144287E1
8.823023988E1,2.973011780E1,-2.394945145E0,-4.121339417E1
8.825017588E1,3.005480957E1,-2.165765762E0,-4.105753326E1
8.827011288E1,3.028347778E1,-2.344255447E0,-4.091640854E1
8.829004988E1,3.038261414E1,-2.929273605E0,-4.085241699E1
8.830998588E1,3.035433960E1,-3.778264999E0,-4.080973816E1
8.832992288E1,2.991822815E1,-4.764707565E0,-4.091609955E1
8.834985888E1,2.937103271E1,-6.117370605E0,-4.130870819E1
8.836979588E1,2.871788025E1,-7.365643501E0,-4.145624542E1
8.838973188E1,2.830525208E1,-8.499348640E0,-4.149507904E1
8.840966888E1,2.807296753E1,-9.194068909E0,-4.151409149E1
8.842960488E1,2.824586487E1,-9.520289421E0,-4.145011139E1
8.844954188E1,2.835072327E1,-9.424026489E0,-4.128549194E1
8.846947788E1,2.882850647E1,-9.005869865E0,-4.095393372E1
8.848941488E1,2.944413757E1,-8.199545860E0,-4.061977005E1
8.850935188E1,3.019863892E1,-7.071039200E0,-4.033634949E1
8.852928788E1,3.102291870E1,-5.874444962E0,-3.997093582E1
8.854922488E1,3.173480225E1,-4.786655426E0,-3.957102203E1
8.856916088E1,3.226000977E1,-3.816699982E0,-3.927980042E1
8.858909788E1,3.242572021E1,-3.293598175E0,-3.914365768E1
8.860903388E1,3.218228149E1,-3.168449402E0,-3.937463379E1
8.862897088E1,3.191931152E1,-3.348247528E0,-3.962849426E1
8.864890688E1,3.158674622E1,-3.826677322E0,-3.978542328E1
8.866884388E1,3.125675964E1,-4.483749390E0,-3.996320343E1
8.868878088E1,3.094868469E1,-5.186342239E0,-4.027944946E1
8.870871688E1,3.056269836E1,-5.830766678E0,-4.051614761E1
8.872865388E1,3.027671814E1,-6.630231857E0,-4.050908661E1
8.874858988E1,2.992582703E1,-7.837184906E0,-4.060739899E1
8.876852688E1,2.954345703E1,-9.304319382E0,-4.050724030E1
8.878846288E1,2.896717834E1,-1.061747551E1,-4.054850388E1
8.880839988E1,2.834204102E1,-1.139484978E1,-4.083927917E1
8.882833588E1,2.768171692E1,-1.175444794E1,-4.107031631E1
8.884827288E1,2.725314331E1,-1.166743374E1,-4.131061935E1
8.886820988E1,2.688490295E1,-1.150018883E1,-4.163240051E1
8.888814613E1,2.678109741E1,-1.137634659E1,-4.176946259E1
8.890808313E1,2.671675110E1,-1.150709152E1,-4.178495789E1
8.892801913E1,2.678324890E1,-1.170623112E1,-4.162720871E1
8.894795613E1,2.678884888E1,-1.191712189E1,-4.159484863E1
8.896789213E1,2.674856567E1,-1.199967098E1,-4.166568756E1
8.898782913E1,2.651383972E1,-1.199588776E1,-4.186624527E1
8.900776513E1,2.622975159E1,-1.177905178E1,-4.218490601E1
8.902770213E1,2.597605896E1,-1.138868141E1,-4.241589355E1
8.904763913E1,2.562619019E1,-1.074942780E1,-4.274923706E1
8.906757513E1,2.552568054E1,-1.022653008E1,-4.281642151E1
8.908751213E1,2.568666077E1,-9.775661469E0,-4.295068359E1
8.910744813E1,2.609803772E1,-8.938990593E0,-4.282759857E1
8.912738513E1,2.669583130E1,-7.409208298E0,-4.273472595E1
8.914732113E1,2.737258911E1,-5.505083084E0,-4.258526993E1
8.916725813E1,2.823831177E1,-3.672645569E0,-4.213750458E1
8.918719413E1,2.901217651E1,-2.229108810E0,-4.162300873E1
8.920713113E1,2.951293945E1,-1.361015320E0,-4.124214935E1
8.922706713E1,2.983489990E1,-1.254865646E0,-4.111256409E1
8.924700413E1,3.010728455E1,-1.798522949E0,-4.093608856E1
8.926694113E1,3.031976318E1,-2.691038132E0,-4.069491577E1
8.928687713E1,3.044647217E1,-3.231775284E0,-4.054449081E1
8.930681413E1,3.059716797E1,-4.419984818E0,-4.042269516E1
8.932675013E1,3.049829102E1,-5.614643097E0,-4.042145538E1
8.934668713E1,3.036380005E1,-6.706451416E0,-4.056320953E1
8.936662313E1,3.003385925E1,-7.645473480E0,-4.055676270E1
8.938656013E1,2.963427734E1,-8.244636536E0,-4.071276855E1
8.940649613E1,2.935314941E1,-8.526517868E0,-4.089304352E1
8.942643313E1,2.906446838E1,-8.540904045E0,-4.113860321E1
8.944637013E1,2.905758667E1,-8.355606079E0,-4.120647430E1
8.946630613E1,2.903663635E1,-8.029065132E0,-4.117296600E1
8.948624313E1,2.919279480E1,-7.741201401E0,-4.118615723E1
8.950617913E1,2.941192627E1,-7.305917740E0,-4.106562042E1
8.952611613E1,2.965325928E1,-7.029093742E0,-4.086102676E1
8.954605213E1,2.998712158E1,-6.687934875E0,-4.089248276E1
8.956598913E1,3.020281982E1,-6.473733902E0,-4.077409363E1
8.958592513E1,3.011065674E1,-6.754686356E0,-4.068105698E1
8.960586213E1,2.949122620E1,-7.457292557E0,-4.116099548E1
8.962579813E1,2.847718811E1,-8.404472351E0,-4.172765732E1
8.964573513E1,2.753771973E1,-9.450550079E0,-4.211000061E1
8.966567213E1,2.698214722E1,-1.026218414E1,-4.245668793E1
8.968560813E1,2.660096741E1,-1.106811810E1,-4.247052765E1
8.970554513E1,2.644812012E1,-1.185706329E1,-4.253033447E1
8.972548113E1,2.637217712E1,-1.283235836E1,-4.229210281E1
8.974541813E1,2.635943604E1,-1.410398579E1,-4.179517365E1
8.976535413E1,2.631741333E1,-1.512673569E1,-4.134621429E1
8.978529113E1,2.608322144E1,-1.595901299E1,-4.129764938E1
8.980522713E1,2.552915955E1,-1.625705910E1,-4.142539215E1
8.982516413E1,2.497811890E1,-1.621604156E1,-4.164605331E1
8.984510013E1,2.446765137E1,-1.601421356E1,-4.187339401E1
8.986503713E1,2.406529236E1,-1.581783676E1,-4.212907410E1
8.988497408E1,2.392597961E1,-1.593871021E1,-4.214910889E1
8.990491008E1,2.400239563E1,-1.629240036E1,-4.210435867E1
8.992484708E1,2.404217529E1,-1.666585922E1,-4.187797165E1
8.994478308E1,2.389543152E1,-1.699821854E1,-4.181972885E1
8.996472008E1,2.374479675E1,-1.711002922E1,-4.184012985E1
8.998465608E1,2.368965149E1,-1.711018562E1,-4.180025864E1
9.000459308E1,2.351419067E1,-1.708443832E1,-4.188272095E1
9.002452908E1,2.326728821E1,-1.693891716E1,-4.216501617E1
9.004446608E1,2.304031372E1,-1.682693672E1,-4.225068665E1
9.006440208E1,2.284848022E1,-1.671307755E1,-4.220230103E1
9.008433908E1,2.291491699E1,-1.667427826E1,-4.240673828E1
9.010427508E1,2.321972656E1,-1.607563400E1,-4.253469086E1
9.012421208E1,2.368733215E1,-1.539103031E1,-4.258016205E1
9.014414908E1,2.515995789E1,-1.309188366E1,-4.240025330E1
9.016408508E1,2.698506165E1,-1.028545952E1,-4.217210770E1
9.018402208E1,2.853413391E1,-7.903125763E0,-4.171233368E1
9.020395808E1,2.972640991E1,-6.502176285E0,-4.110470581E1
9.022389508E1,3.048904419E1,-6.122505188E0,-4.069582748E1
9.024383108E1,3.065226746E1,-6.082321167E0,-4.068551636E1
9.026376808E1,3.033944702E1,-6.083215714E0,-4.086001587E1
9.028370408E1,2.969749451E1,-6.220397949E0,-4.112266541E1
9.030364108E1,2.878945923E1,-6.529670715E0,-4.168142319E1
9.032357708E1,2.778108215E1,-7.008828163E0,-4.232064819E1
9.034351408E1,2.693222046E1,-7.694443703E0,-4.277970505E1
9.036345108E1,2.626550293E1,-8.491068840E0,-4.290498734E1
9.038338708E1,2.580473328E1,-9.065379143E0,-4.294402695E1
9.040332408E1,2.565480042E1,-9.514923096E0,-4.297262573E1
9.042326008E1,2.569378662E1,-9.793333054E0,-4.307145691E1
9.044319708E1,2.586911011E1,-9.753225327E0,-4.302311325E1
9.046313308E1,2.609379578E1,-9.550503731E0,-4.279327393E1
9.048307008E1,2.652972412E1,-9.229576111E0,-4.264907074E1
9.050300608E1,2.685145569E1,-8.761019707E0,-4.260814667E1
9.052294308E1,2.723150635E1,-8.025156975E0,-4.236772919E1
9.054287908E1,2.770564270E1,-7.479408264E0,-4.216915131E1
9.056281608E1,2.834365845E1,-6.867615700E0,-4.197171783E1
9.058275208E1,2.918118286E1,-6.462213516E0,-4.164239502E1
9.060268908E1,2.998713684E1,-5.858205795E0,-4.117266083E1
9.062262608E1,3.064797974E1,-5.358272552E0,-4.059071732E1
9.064256208E1,3.117816162E1,-5.053068161E0,-4.023664093E1
9.066249908E1,3.138960266E1,-4.745565414E0,-4.010440063E1
9.068243508E1,3.159399414E1,-4.883245468E0,-3.989582062E1
9.070237208E1,3.163288879E1,-5.712478638E0,-3.974599457E1
9.072230808E1,3.117137146E1,-7.244179726E0,-4.003573608E1
9.074224508E1,3.051914978E1,-9.238189697E0,-4.025656128E1
9.076218108E1,2.978169250E1,-1.113718319E1,-4.039068604E1
9.078211808E1,2.916825867E1,-1.276878548E1,-4.036061478E1
9.080205408E1,2.855618286E1,-1.376437569E1,-4.043608856E1
