"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
9.527465606E1,3.211751059E1,1.189521073E2,2.217845407E1,1.263583042E0,1.623865829E1,4.785126137E0,4.785126137E0
9.627465498E1,3.211751695E1,1.189521190E2,2.237958791E1,1.456240333E0,2.051137231E1,4.776672837E0,4.776672837E0
9.727465391E1,3.211753164E1,1.189521335E2,2.149582613E1,1.573192978E0,2.872419432E1,4.772487127E0,4.772487127E0
9.827465236E1,3.211754160E1,1.189521471E2,2.114153942E1,1.559649600E0,3.575021689E1,4.770171140E0,4.770171140E0
9.927464640E1,3.211754564E1,1.189521637E2,2.014577052E1,1.414205993E0,4.161001374E1,4.772586272E0,4.772586272E0
1.002746427E2,3.211754769E1,1.189521890E2,1.993160685E1,1.420631033E0,5.270452027E1,4.773600841E0,4.773600841E0
1.012746308E2,3.211755461E1,1.189522070E2,2.091227150E1,1.216016849E0,5.530066751E1,4.777989135E0,4.777989135E0
1.022746255E2,3.211755406E1,1.189522228E2,2.147925468E1,9.080495285E-1,5.791959493E1,4.778682071E0,4.778682071E0
1.032746147E2,3.211756139E1,1.189522353E2,2.119520838E1,9.318840584E-1,5.392533394E1,4.768747045E0,4.768747045E0
1.042745836E2,3.211757511E1,1.189522453E2,2.125232655E1,1.106151365E0,4.575779736E1,4.770403730E0,4.770403730E0
1.052745366E2,3.211757201E1,1.189522690E2,2.132994308E1,1.430471451E0,5.835156364E1,4.761369031E0,4.761369031E0
1.062745223E2,3.211757624E1,1.189522874E2,2.167128435E1,1.409843032E0,5.633918954E1,4.754311315E0,4.754311315E0
1.072745194E2,3.211758211E1,1.189522961E2,2.157968665E1,1.175410239E0,4.998112955E1,4.757696712E0,4.757696712E0
1.082745204E2,3.211758708E1,1.189523066E2,2.094551025E1,1.193115469E0,5.075502659E1,4.749880873E0,4.749880873E0
1.092745217E2,3.211758523E1,1.189523041E2,2.127540436E1,6.592651802E-1,5.002471998E1,4.744637968E0,4.744637968E0
1.102745243E2,3.211759640E1,1.189523074E2,2.211869114E1,8.602255257E-1,3.547925288E1,4.734337773E0,4.734337773E0
1.112745266E2,3.211760630E1,1.189523159E2,2.234624091E1,1.105934505E0,3.785048687E1,4.727058481E0,4.727058481E0
1.122745293E2,3.211760920E1,1.189523107E2,2.237381004E1,6.204597620E-1,2.197487418E1,4.743950940E0,4.743950940E0
1.132745312E2,3.211762256E1,1.189523096E2,2.364905760E1,7.706693823E-1,1.285510465E1,4.722857705E0,4.722857705E0
1.142745332E2,3.211763918E1,1.189523135E2,2.141765218E1,9.521715994E-1,5.306561404E0,4.736640319E0,4.736640319E0
1.152745357E2,3.211764938E1,1.189523197E2,2.168159996E1,9.371377714E-1,5.150177351E0,4.743316516E0,4.743316516E0
1.162745392E2,3.211766181E1,1.189523270E2,2.163408516E1,9.791447710E-1,1.236440602E1,4.750470271E0,4.750470271E0
1.172745411E2,3.211767951E1,1.189523384E2,2.148540994E1,1.378086067E0,2.000530071E1,4.761396556E0,4.761396556E0
1.182745441E2,3.211769226E1,1.189523457E2,2.064960207E1,1.418915299E0,1.912079846E1,4.762045551E0,4.762045551E0
1.192745483E2,3.211770004E1,1.189523589E2,2.049122009E1,1.250529143E0,2.911002473E1,4.776941060E0,4.776941060E0
1.202745544E2,3.211771360E1,1.189523795E2,2.044751531E1,1.512317922E0,3.828373824E1,4.762091136E0,4.762091136E0
1.212745541E2,3.211772686E1,1.189523903E2,2.027534946E1,1.565586057E0,3.514058436E1,4.751305902E0,4.751305902E0
1.222745569E2,3.211773555E1,1.189524088E2,2.047584833E1,1.563728368E0,4.598323890E1,4.747203394E0,4.747203394E0
1.232745601E2,3.211774689E1,1.189524243E2,1.932840259E1,1.508821993E0,4.547629936E1,4.749609153E0,4.749609153E0
1.242745636E2,3.211776150E1,1.189524284E2,1.841036270E1,1.440594238E0,3.845557820E1,4.750335037E0,4.750335037E0
1.252745724E2,3.211777251E1,1.189524411E2,1.913072025E1,1.550947521E0,3.947504289E1,4.747225588E0,4.747225588E0
1.262745711E2,3.211778750E1,1.189524480E2,1.995687590E1,1.533749086E0,3.341451156E1,4.748445741E0,4.748445741E0
1.272745748E2,3.211779537E1,1.189524583E2,2.085460490E1,1.398765498E0,3.200996225E1,4.751840978E0,4.751840978E0
1.282745786E2,3.211780237E1,1.189524723E2,2.093392023E1,1.384815847E0,2.969870159E1,4.754464673E0,4.754464673E0
1.292745821E2,3.211781549E1,1.189524787E2,2.050283554E1,1.539400074E0,2.073519764E1,4.750324708E0,4.750324708E0
1.302745862E2,3.211782675E1,1.189524906E2,1.995527245E1,1.480297062E0,2.844425794E1,4.747745294E0,4.747745294E0
1.312745904E2,3.211783258E1,1.189525057E2,1.956829853E1,1.471446244E0,2.975913402E1,4.746504937E0,4.746504937E0
1.322745936E2,3.211784296E1,1.189525139E2,1.985202803E1,1.495835965E0,3.163897301E1,4.744776917E0,4.744776917E0
1.332745973E2,3.211784999E1,1.189525339E2,1.977030845E1,1.496499753E0,3.947435785E1,4.732587470E0,4.732587470E0
1.342746013E2,3.211786151E1,1.189525460E2,1.954109164E1,1.547448677E0,3.862346718E1,4.739769248E0,4.739769248E0
1.352746049E2,3.211787326E1,1.189525510E2,1.961534306E1,1.550600255E0,3.457365275E1,4.737252371E0,4.737252371E0
1.362746086E2,3.211788228E1,1.189525684E2,1.937112443E1,1.565360390E0,4.009412716E1,4.737535881E0,4.737535881E0
1.372746129E2,3.211789218E1,1.189525792E2,1.970106863E1,1.561675653E0,3.906320811E1,4.739190057E0,4.739190057E0
1.382746170E2,3.211790283E1,1.189525890E2,1.951536573E1,1.541978712E0,4.020005698E1,4.734430596E0,4.734430596E0
1.392746207E2,3.211790876E1,1.189526087E2,1.984751673E1,1.533472238E0,4.537017327E1,4.734395282E0,4.734395282E0
1.402746249E2,3.211791411E1,1.189526222E2,2.071800240E1,1.448146913E0,4.418596290E1,4.736393455E0,4.736393455E0
1.412746285E2,3.211792227E1,1.189526363E2,2.091237932E1,1.471102953E0,4.584947092E1,4.739062812E0,4.739062812E0
1.422746330E2,3.211793646E1,1.189526497E2,1.996022795E1,1.570140529E0,3.930120356E1,4.737603581E0,4.737603581E0
1.432746378E2,3.211794799E1,1.189526493E2,1.949676562E1,1.355156544E0,3.309292725E1,4.733921079E0,4.733921079E0
1.442746416E2,3.211796322E1,1.189526565E2,1.912310433E1,1.465455334E0,3.190225661E1,4.738192806E0,4.738192806E0
1.452746449E2,3.211796929E1,1.189526773E2,1.922994414E1,1.559824284E0,3.884678527E1,4.737922493E0,4.737922493E0
1.462746490E2,3.211797555E1,1.189526921E2,1.882128721E1,1.547325865E0,4.742952854E1,4.739504464E0,4.739504464E0
1.472746547E2,3.211798329E1,1.189527065E2,1.910024326E1,1.568298952E0,4.731711511E1,4.739942862E0,4.739942862E0
1.482746581E2,3.211799487E1,1.189527122E2,1.951493308E1,1.500988260E0,3.395212820E1,4.738756155E0,4.738756155E0
